Name,Kwargs,Batch_size,Epochs,Accuracy
Adam,{'learning_rate': 0.001},64,5,0.8727999925613403
Adam,{'learning_rate': 0.001},64,5,0.8705000281333923
Adam,{'learning_rate': 0.001},64,10,0.8700000047683716
Adam,{'learning_rate': 0.001},64,20,0.8849999904632568
Adam,{'learning_rate': 0.001},64,30,0.8730999827384949
Adadelta,{'learning_rate': 0.001},64,5,0.301499992609024
Adagrad,{'learning_rate': 0.001},64,5,0.7251999974250793
Adamax,{'learning_rate': 0.001},64,5,0.8855999708175659
Nadam,{'learning_rate': 0.001},64,5,0.876800000667572
RMSprop,{'learning_rate': 0.001},64,5,0.4413000047206878
SGD,{'learning_rate': 0.001},64,5,0.654699981212616
Adam,{'learning_rate': 0.001},128,5,0.8468000292778015
Adagrad,{'learning_rate': 0.001},128,5,0.6922000050544739
Adamax,{'learning_rate': 0.001},128,5,0.8790000081062317
Nadam,{'learning_rate': 0.001},128,5,0.8948000073432922
Adam,{'learning_rate': 0.001},256,5,0.8873999714851379
Adamax,{'learning_rate': 0.001},256,5,0.8658999800682068
Nadam,{'learning_rate': 0.001},256,5,0.8924000263214111
Adam,{'learning_rate': 0.001},512,5,0.8865000009536743
Adamax,{'learning_rate': 0.001},512,5,0.8550999760627747
Nadam,{'learning_rate': 0.001},512,5,0.8719000220298767
Adam,{'learning_rate': 0.001},128,10,0.8956000208854675
Adam,{'learning_rate': 0.001},256,10,0.8960999846458435
Adamax,{'learning_rate': 0.001},128,10,0.8902999758720398
Adamax,{'learning_rate': 0.001},256,10,0.9031999707221984
Nadam,{'learning_rate': 0.001},128,10,0.8787999749183655
Nadam,{'learning_rate': 0.001},256,10,0.886900007724762
Adadelta,{'learning_rate': 0.001},128,5,0.1009000018239021
Adadelta,{'learning_rate': 0.001},256,5,0.1092000007629394
Adadelta,{'learning_rate': 0.001},512,5,0.1485999971628189
Adagrad,{'learning_rate': 0.001},128,5,0.6930999755859375
Adagrad,{'learning_rate': 0.001},256,5,0.7170000076293945
Adagrad,{'learning_rate': 0.001},512,5,0.7279999852180481
RMSprop,{'learning_rate': 0.001},128,5,0.8679999709129333
RMSprop,{'learning_rate': 0.001},256,5,0.8662999868392944
RMSprop,{'learning_rate': 0.001},512,5,0.8418999910354614
SGD,{'learning_rate': 0.001},128,5,0.3253999948501587
SGD,{'learning_rate': 0.001},256,5,0.5680000185966492
SGD,{'learning_rate': 0.001},512,5,0.6241000294685364
Adam,{'learning_rate': 0.001},64,20,0.878600001335144
Adam,{'learning_rate': 0.001},128,20,0.8708000183105469
Adam,{'learning_rate': 0.001},256,20,0.883400022983551
Adam,{'learning_rate': 0.001},512,20,0.8751999735832214
Adamax,{'learning_rate': 0.001},64,20,0.895799994468689
Adamax,{'learning_rate': 0.001},128,20,0.8873999714851379
Adamax,{'learning_rate': 0.001},256,20,0.8899000287055969
Adamax,{'learning_rate': 0.001},512,20,0.9003999829292297
Nadam,{'learning_rate': 0.001},64,20,0.8888999819755554
Nadam,{'learning_rate': 0.001},128,20,0.8849999904632568
Nadam,{'learning_rate': 0.001},256,20,0.8906999826431274
Adam,{'learning_rate': 0.0005},64,10,0.885200023651123
Adam,{'learning_rate': 0.0005},128,10,0.8873000144958496
Adam,{'learning_rate': 0.0005},256,10,0.8910999894142151
Adam,{'learning_rate': 0.0005},512,10,0.8931000232696533
Adamax,{'learning_rate': 0.0005},64,10,0.8980000019073486
Adamax,{'learning_rate': 0.0005},128,10,0.904699981212616
Adamax,{'learning_rate': 0.0005},256,10,0.8895000219345093
Adamax,{'learning_rate': 0.0005},512,10,0.89410001039505
Nadam,{'learning_rate': 0.0005},64,10,0.8894000053405762
Nadam,{'learning_rate': 0.0005},128,10,0.8827000260353088
Nadam,{'learning_rate': 0.0005},256,10,0.878600001335144
Nadam,{'learning_rate': 0.0005},512,10,0.8863000273704529
