Name,Kwargs,Batch_size,Epochs,Accuracy
Adam,{'learning_rate': 0.001},64,10,0.8499000072479248
Adam,{'learning_rate': 0.001},128,10,0.8220000267028809
Adam,{'learning_rate': 0.001},256,10,0.8377000093460083
Adam,{'learning_rate': 0.001},512,10,0.8284000158309937
Adamax,{'learning_rate': 0.001},64,10,0.8514999747276306
Adamax,{'learning_rate': 0.001},128,10,0.8197000026702881
Adamax,{'learning_rate': 0.001},256,10,0.7954999804496765
Adamax,{'learning_rate': 0.001},512,10,0.8009999990463257
Nadam,{'learning_rate': 0.001},64,10,0.8381999731063843
Nadam,{'learning_rate': 0.001},128,10,0.8618999719619751
Nadam,{'learning_rate': 0.001},256,10,0.8716999888420105
Nadam,{'learning_rate': 0.001},512,10,0.8618999719619751
